10,0,0.020430583
10,0.25,0.016146282
10,0.5,0.011098336
10,0.75,0.005788376
10,1,0
20,0,0.0204752
20,0.25,0.016176867
20,0.5,0.011117355
20,0.75,0.005797118
20,1,0
30,0,0.020590638
30,0.25,0.016253989
30,0.5,0.011163411
30,0.75,0.005817023
30,1,0
40,0,0.020764363
40,0.25,0.016368935
40,0.5,0.011230822
40,0.75,0.005845489
40,1,0
50,0,0.020985049
50,0.25,0.01651644
50,0.5,0.011318118
50,0.75,0.005883013
50,1,0
60,0,0.021256387
60,0.25,0.016701785
60,0.5,0.011430413
60,0.75,0.005932992
60,1,0
70,0,0.021586399
70,0.25,0.016932352
70,0.5,0.011573429
70,0.75,0.005998673
70,1,0
80,0,0.021979254
80,0.25,0.017211885
80,0.5,0.011749988
80,0.75,0.006081607
80,1,0
90,0,0.022433587
90,0.25,0.017539594
90,0.5,0.011959661
90,0.75,0.006181624
90,1,0
100,0,0.022944026
100,0.25,0.017911486
100,0.5,0.012199781
100,0.75,0.006297391
100,1,0
110,0,0.023503274
110,0.25,0.018322033
110,0.5,0.012466618
110,0.75,0.006427026
110,1,0
120,0,0.024103692
120,0.25,0.0187654
120,0.5,0.012756222
120,0.75,0.006568536
120,1,0
130,0,0.02473823
130,0.25,0.019236173
130,0.5,0.013064913
130,0.75,0.006720053
130,1,0
140,0,0.025400841
140,0.25,0.019729683
140,0.5,0.013389512
140,0.75,0.006879959
140,1,0
150,0,0.02608657
150,0.25,0.020242078
150,0.5,0.01372739
150,0.75,0.007046912
150,1,0
160,0,0.026791478
160,0.25,0.020770279
160,0.5,0.014076429
160,0.75,0.007219825
160,1,0
170,0,0.027512499
170,0.25,0.021311862
170,0.5,0.014434959
170,0.75,0.007397835
170,1,0
180,0,0.028247266
180,0.25,0.021864939
180,0.5,0.01480167
180,0.75,0.007580262
180,1,0
190,0,0.028993959
190,0.25,0.022428044
190,0.5,0.015175537
190,0.75,0.007766567
190,1,0
200,0,0.029751183
200,0.25,0.023000035
200,0.5,0.015555755
200,0.75,0.007956325
200,1,0
210,0,0.030517847
210,0.25,0.023580009
210,0.5,0.015941685
210,0.75,0.008149195
210,1,0
220,0,0.031293096
220,0.25,0.024167246
220,0.5,0.016332811
220,0.75,0.008344899
220,1,0
230,0,0.032076241
230,0.25,0.024761158
230,0.5,0.016728712
230,0.75,0.008543208
230,1,0
240,0,0.032866718
240,0.25,0.025361262
240,0.5,0.017129035
240,0.75,0.008743928
240,1,0
250,0,0.033664049
250,0.25,0.025967138
250,0.5,0.017533477
250,0.75,0.008946893
250,1,0
260,0,0.034467824
260,0.25,0.02657843
260,0.5,0.017941775
260,0.75,0.009151958
260,1,0
270,0,0.035277677
270,0.25,0.027194814
270,0.5,0.018353695
270,0.75,0.00935899
270,1,0
280,0,0.03609328
280,0.25,0.027816005
280,0.5,0.018769025
280,0.75,0.009567875
280,1,0
290,0,0.036914332
290,0.25,0.028441736
290,0.5,0.019187575
290,0.75,0.009778505
290,1,0
300,0,0.037740554
300,0.25,0.029071763
300,0.5,0.019609164
300,0.75,0.00999078
300,1,0
310,0,0.038571682
310,0.25,0.029705858
310,0.5,0.020033628
310,0.75,0.010204608
310,1,0
320,0,0.039407469
320,0.25,0.030343806
320,0.5,0.020460808
320,0.75,0.010419903
320,1,0
330,0,0.040247678
330,0.25,0.030985403
330,0.5,0.020890562
330,0.75,0.010636585
330,1,0
340,0,0.041092086
340,0.25,0.03163046
340,0.5,0.021322748
340,0.75,0.010854578
340,1,0
350,0,0.041940478
350,0.25,0.03227879
350,0.5,0.021757238
350,0.75,0.011073809
350,1,0
360,0,0.042792652
360,0.25,0.032930226
360,0.5,0.022193906
360,0.75,0.011294211
360,1,0
370,0,0.043648411
370,0.25,0.0335846
370,0.5,0.022632637
370,0.75,0.01151572
370,1,0
380,0,0.044507571
380,0.25,0.034241759
380,0.5,0.02307332
380,0.75,0.011738277
380,1,0
390,0,0.045369957
390,0.25,0.034901553
390,0.5,0.023515849
390,0.75,0.011961823
390,1,0
400,0,0.046235397
400,0.25,0.035563843
400,0.5,0.023960125
400,0.75,0.012186306
400,1,0
410,0,0.047103731
410,0.25,0.036228494
410,0.5,0.024406052
410,0.75,0.012411672
410,1,0
420,0,0.047974808
420,0.25,0.036895382
420,0.5,0.024853545
420,0.75,0.012637877
420,1,0
