10,0,0
10,0.25,-0.002890151
10,0.5,-0.005221002
10,0.75,-0.010285862
10,1,-0.015387315
20,0,0
20,0.25,-0.002912084
20,0.5,-0.005303803
20,0.75,-0.01032936
20,1,-0.015424939
30,0,0
30,0.25,-0.002954758
30,0.5,-0.005462463
30,0.75,-0.01042041
30,1,-0.015517454
40,0,0
40,0.25,-0.003016306
40,0.5,-0.005661079
40,0.75,-0.010555491
40,1,-0.015662164
50,0,0
50,0.25,-0.003092386
50,0.5,-0.005885687
50,0.75,-0.010726746
50,1,-0.015852589
60,0,0
60,0.25,-0.003181174
60,0.5,-0.006146634
60,0.75,-0.010933375
60,1,-0.016091018
70,0,0
70,0.25,-0.003282392
70,0.5,-0.006447909
70,0.75,-0.01117752
70,1,-0.016382305
80,0,0
80,0.25,-0.003395677
80,0.5,-0.006781216
80,0.75,-0.011459673
80,1,-0.016728083
90,0,0
90,0.25,-0.003520042
90,0.5,-0.007132819
90,0.75,-0.011777625
90,1,-0.017125735
100,0,0
100,0.25,-0.003654038
100,0.5,-0.00748986
100,0.75,-0.012127274
100,1,-0.01756977
110,0,0
110,0.25,-0.003796051
110,0.5,-0.007843184
110,0.75,-0.012503762
110,1,-0.018053489
120,0,0
120,0.25,-0.003944548
120,0.5,-0.008187628
120,0.75,-0.01290231
120,1,-0.018570211
130,0,0
130,0.25,-0.004098197
130,0.5,-0.00852122
130,0.75,-0.013318685
130,1,-0.019113949
140,0,0
140,0.25,-0.004255917
140,0.5,-0.008844108
140,0.75,-0.01374937
140,1,-0.019679663
150,0,0
150,0.25,-0.004416862
150,0.5,-0.00915764
150,0.75,-0.014191559
150,1,-0.020263288
160,0,0
160,0.25,-0.004580395
160,0.5,-0.009463694
160,0.75,-0.014643091
160,1,-0.020861634
170,0,0
170,0.25,-0.004746049
170,0.5,-0.009764244
170,0.75,-0.015102322
170,1,-0.021472241
180,0,0
180,0.25,-0.004913484
180,0.5,-0.010061116
180,0.75,-0.015568027
180,1,-0.022093229
190,0,0
190,0.25,-0.00508246
190,0.5,-0.010355868
190,0.75,-0.016039293
190,1,-0.022723163
200,0,0
200,0.25,-0.005252802
200,0.5,-0.010649757
200,0.75,-0.01651544
200,1,-0.023360947
210,0,0
210,0.25,-0.005424391
210,0.5,-0.010943746
210,0.75,-0.016995961
210,1,-0.024005738
220,0,0
220,0.25,-0.005597138
220,0.5,-0.011238536
220,0.75,-0.017480467
220,1,-0.024656871
230,0,0
230,0.25,-0.005770982
230,0.5,-0.011534608
230,0.75,-0.017968657
230,1,-0.025313817
240,0,0
240,0.25,-0.00594587
240,0.5,-0.01183227
240,0.75,-0.018460293
240,1,-0.025976142
250,0,0
250,0.25,-0.006121767
250,0.5,-0.012131689
250,0.75,-0.018955175
250,1,-0.026643483
260,0,0
260,0.25,-0.006298637
260,0.5,-0.012432928
260,0.75,-0.019453134
260,1,-0.027315527
270,0,0
270,0.25,-0.006476454
270,0.5,-0.012735976
270,0.75,-0.019954023
270,1,-0.027992001
280,0,0
280,0.25,-0.006655188
280,0.5,-0.013040768
280,0.75,-0.020457705
280,1,-0.028672653
290,0,0
290,0.25,-0.006834814
290,0.5,-0.013347201
290,0.75,-0.020964055
290,1,-0.02935726
300,0,0
300,0.25,-0.007015306
300,0.5,-0.013655152
300,0.75,-0.021472957
300,1,-0.030045609
310,0,0
310,0.25,-0.007196639
310,0.5,-0.013964484
310,0.75,-0.021984298
310,1,-0.030737508
320,0,0
320,0.25,-0.007378785
320,0.5,-0.014275057
320,0.75,-0.022497971
320,1,-0.031432768
330,0,0
330,0.25,-0.00756172
330,0.5,-0.014586728
330,0.75,-0.023013872
330,1,-0.032131214
340,0,0
340,0.25,-0.007745417
340,0.5,-0.01489936
340,0.75,-0.023531903
340,1,-0.032832683
350,0,0
350,0.25,-0.007929854
350,0.5,-0.015212823
350,0.75,-0.024051963
350,1,-0.033537014
360,0,0
360,0.25,-0.008115
360,0.5,-0.015526994
360,0.75,-0.024573964
360,1,-0.034244057
370,0,0
370,0.25,-0.008300834
370,0.5,-0.015841758
370,0.75,-0.025097813
370,1,-0.034953668
380,0,0
380,0.25,-0.00848733
380,0.5,-0.01615701
380,0.75,-0.025623425
380,1,-0.035665712
390,0,0
390,0.25,-0.008674463
390,0.5,-0.016472655
390,0.75,-0.026150715
390,1,-0.036380057
400,0,0
400,0.25,-0.008862211
400,0.5,-0.016788606
400,0.75,-0.026679604
400,1,-0.03709658
410,0,0
410,0.25,-0.00905055
410,0.5,-0.017104783
410,0.75,-0.027210018
410,1,-0.037815166
420,0,0
420,0.25,-0.009239458
420,0.5,-0.017421117
420,0.75,-0.027741878
420,1,-0.038535699
430,0,0
430,0.25,-0.009428914
430,0.5,-0.017737545
430,0.75,-0.028275117
430,1,-0.039258075
440,0,0
440,0.25,-0.009618896
440,0.5,-0.018054009
440,0.75,-0.028809668
440,1,-0.039982192
450,0,0
450,0.25,-0.009809386
450,0.5,-0.018370462
450,0.75,-0.029345466
450,1,-0.040707957
460,0,0
460,0.25,-0.010000362
460,0.5,-0.018686857
460,0.75,-0.02988245
460,1,-0.041435277
470,0,0
470,0.25,-0.010191807
470,0.5,-0.019003158
470,0.75,-0.030420562
470,1,-0.042164067
480,0,0
480,0.25,-0.010383703
480,0.5,-0.019319329
480,0.75,-0.030959747
480,1,-0.042894246
490,0,0
490,0.25,-0.010576034
490,0.5,-0.01963534
490,0.75,-0.03149995
490,1,-0.043625736
500,0,0
500,0.25,-0.01076878
500,0.5,-0.019951168
500,0.75,-0.032041123
500,1,-0.044358463
510,0,0
510,0.25,-0.010961929
510,0.5,-0.020266787
510,0.75,-0.032583216
510,1,-0.04509236
520,0,0
520,0.25,-0.011155464
520,0.5,-0.02058218
520,0.75,-0.033126186
520,1,-0.04582736
530,0,0
530,0.25,-0.011349372
530,0.5,-0.02089733
530,0.75,-0.033669988
530,1,-0.046563401
540,0,0
540,0.25,-0.011543639
540,0.5,-0.021212222
540,0.75,-0.034214581
540,1,-0.047300426
550,0,0
550,0.25,-0.011738249
550,0.5,-0.021526845
550,0.75,-0.034759928
550,1,-0.048038377
560,0,0
560,0.25,-0.011933193
560,0.5,-0.021841189
560,0.75,-0.035305989
560,1,-0.048777203
570,0,0
570,0.25,-0.012128458
570,0.5,-0.022155245
570,0.75,-0.03585273
570,1,-0.049516852
580,0,0
580,0.25,-0.012324033
